Episode,Collision,Average Speed,Right Lane Percentage,Lane Changes,Unsafe Lane Changes,Average Front Car Distance
1,0,20.025276461295423,100.0,1,0,36.428625256083244
2,0,20.025276461295423,100.0,1,0,34.22993554947378
3,0,20.025276461295423,100.0,1,0,28.131269854682238
4,0,20.025276461295423,96.66666666666667,2,0,62.16429389351239
5,0,20.025276461295423,100.0,1,0,63.44935172990877
6,0,20.025276461295423,93.33333333333333,3,0,74.58910486005801
7,0,20.025276461295423,0.0,1,0,32.1862392392276
8,0,20.025276461295423,100.0,1,0,74.23084221692771
9,0,20.025276461295423,93.33333333333333,2,0,98.67741174754906
10,0,20.025276461295423,100.0,1,0,114.25842420044484
11,0,20.025276461295423,6.666666666666667,3,0,43.79519892777831
12,0,21.191943127957476,30.0,3,1,55.06826489162424
13,0,20.025276461295423,63.33333333333333,3,1,40.281804406285936
14,0,20.025276461295423,90.0,2,1,30.87342233682903
15,0,20.025276461295423,0.0,1,0,93.45400197865003
16,0,20.025276461295423,100.0,1,0,40.447855053504234
17,0,20.025276461295423,100.0,1,0,75.5278942283635
18,0,20.191943127962084,96.66666666666667,2,0,52.83758055350122
19,0,20.191943127962084,96.66666666666667,2,0,59.640581729150746
20,0,20.025276461295423,53.333333333333336,3,1,33.34975513883819
21,0,20.025276461295423,0.0,1,0,48.267296021673445
22,0,20.025276461295423,0.0,1,0,69.07353367535433
23,0,21.02527646129541,46.666666666666664,3,1,45.02686168566922
24,0,20.025276461295423,0.0,1,0,54.12834473332377
25,0,20.025276461295423,100.0,1,0,126.32911333770282
26,0,20.025276461295423,76.66666666666667,2,0,48.10188822500045
27,0,20.025276461295423,80.0,3,0,60.04521984289125
28,0,20.191943127962084,83.33333333333334,2,0,66.4967615171744
29,0,20.025276461295423,100.0,1,0,57.930500644294405
30,0,20.025276461295423,100.0,1,0,53.92098164561885
31,0,20.191943127962087,70.0,3,2,34.21760070466214
32,1,20.032969297341854,56.52173913043478,2,1,23.075053101274033
33,0,20.025276461295423,83.33333333333334,3,0,52.6317744795462
34,0,20.025276461295423,0.0,1,0,47.174250341573526
35,0,20.025276461295423,100.0,1,0,29.82609177443472
36,0,20.025276461295423,70.0,2,0,36.11199454820803
37,0,20.191562518252002,100.0,1,0,98.75831708421576
38,0,20.025276461295423,100.0,1,0,24.237778939335797
39,0,20.025276461295423,0.0,1,0,95.40502500255883
40,0,20.025276461295423,93.33333333333333,2,0,32.344986177466616
41,0,20.191943127962084,100.0,1,0,86.60482460251673
42,0,20.025276461295423,90.0,3,0,24.48892826536869
43,0,20.025276461295423,100.0,1,0,31.820014153696366
44,0,20.025276461295423,90.0,3,1,51.66800187567522
45,0,20.025276461295423,100.0,1,0,31.969587341805447
46,0,20.025276461295423,90.0,3,0,66.12762527246356
47,0,20.025276461295423,100.0,1,0,76.78573194460157
